city_state,income_avg
"cass, mi",50365
"charlevoix, mi",57289
"cheboygan, mi",44801
"chippewa, mi",39693
"clare, mi",38655
"clinton, mi",51053
"crawford, mi",39405
"delta, mi",45260
"dickinson, mi",53526
"eaton, mi",47407
"emmet, mi",62918
"genesee, mi",46152
"gladwin, mi",40772
"gogebic, mi",47894
"grand traverse, mi",56861
"gratiot, mi",42067
"hillsdale, mi",39404
"houghton, mi",42884
"huron, mi",53638
"ingham, mi",44957
"ionia, mi",39366
"iosco, mi",43618
"iron, mi",49153
"isabella, mi",40021
"jackson, mi",44889
"kalamazoo, mi",52403
"kalkaska, mi",41545
"kent, mi",57397
"keweenaw, mi",51972
"lake, mi",39507
"lapeer, mi",49441
"leelanau, mi",73238
"lenawee, mi",44821
"livingston, mi",62622
"luce, mi",36339
"mackinac, mi",50217
"macomb, mi",52195
"manistee, mi",44382
"marquette, mi",44445
"mason, mi",45326
"mecosta, mi",37579
"menominee, mi",47594
"midland, mi",57561
"missaukee, mi",40298
"monroe, mi",52028
"montcalm, mi",40018
"montmorency, mi",42154
"muskegon, mi",44000
"newaygo, mi",42117
"oakland, mi",76941
"oceana, mi",43261
"ogemaw, mi",39101
"ontonagon, mi",45761
"osceola, mi",41965
"oscoda, mi",36374
"otsego, mi",46166
"ottawa, mi",52759
